season,year,scheme,state,district,crop,insurance_comp,sum_insured,farmer_share,acturial_rate,cut_off_date,area,premium_paid_farmer,premium_paid_goi
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Komaram Bheem,Green Gram (Moong),NATIONAL INSURANCE COMPANY LIMITED,37500,2,64.44,"7/31/2018, 2:29:59 PM",1,750,23415
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Bijnor,Paddy (Dhan),UNITED INDIA INSURANCE CO.,74172,2,2.45,"7/31/2019, 2:29:59 PM",1,1483.44,333.77400000000017
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Saharanpur,Groundnut (Pea Nut),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,62000,2,5.05,"7/31/2019, 2:29:59 PM",1,1240,1891
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Gujarat,Devbhoomi Dwarka,Groundnut (Pea Nut) - IR,RELIANCE GENERAL INSURANCE CO. LTD.,48000,2,24,"7/17/2018, 2:29:59 PM",1,960,10560
Kharif,2019,Weather Based Crop Insurance Scheme,Chhattisgarh,Koriya,Papaya,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,110000,5,20,"7/31/2019, 2:29:59 PM",1,5500,16500
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Dhaulpur,Wheat,AGRICULTURE INSURANCE COMPANY,49126,1.5,2.75,"12/31/2017, 1:29:59 PM",1,736.89,614.075
Rabi,2018,Weather Based Crop Insurance Scheme,Kerala,Kannur,Banana,AGRICULTURE INSURANCE COMPANY,175000,5,18,"1/31/2019, 1:29:59 PM",1,8750,22750
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Bhind,Mustard,AGRICULTURE INSURANCE COMPANY,25000,1.5,13,"1/16/2019, 2:59:59 AM",1,375,2875
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Sirsa,Maize (Makka),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,36000,2,2.58,"7/30/2017, 2:30:00 PM",1,720,208.80000000000004
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Jalor,Wheat,Bajaj Allianz General Insurance Co. Ltd,26797,1.5,4,"12/31/2017, 1:29:59 PM",1,401.955,669.925
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Haryana,Jhajjar,Barley (Jau),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,40500,1.5,9.51,"12/31/2018, 1:29:59 PM",1,607.5,3244.05
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Jalpaiguri,Wheat,NATIONAL INSURANCE COMPANY LIMITED,49500,0,4.89,"12/31/2018, 1:29:59 PM",1,0,2420.5499999999997
Kharif,2019,Weather Based Crop Insurance Scheme,Chhattisgarh,Koriya,Chillies,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,80000,5,10,"7/31/2019, 2:29:59 PM",1,4000,4000
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Adilabad,Bengal Gram (Chana),AGRICULTURE INSURANCE COMPANY,40000,1.5,2.75,"11/30/2018, 1:29:59 PM",1,600,500
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Ujjain,Wheat - IR,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,47000,1.5,9.5,"1/16/2019, 2:59:59 AM",1,705,3760
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sambhal,Maize (Makka),ORIENTAL INSURANCE,31100,2,2,"7/31/2019, 2:29:59 PM",1,622,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Mancherial,Paddy (Dhan),NATIONAL INSURANCE COMPANY LIMITED,85000,2,3.99,"8/31/2018, 2:29:59 PM",1,1700,1691.5000000000002
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Agra,Potato,SBI GENERAL INSURANCE,105499,4.5,4.5,"12/31/2017, 1:29:59 PM",1,4747.455,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Lucknow,Pearl Millet (Bajra),Bajaj Allianz General Insurance Co. Ltd,14280,2,2,"7/30/2017, 2:30:00 PM",1,285.6,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Burhanpur,Soybean (Bhat),AGRICULTURE INSURANCE COMPANY,40000,2,15.3,"8/15/2017, 2:30:00 PM",1,800,5320
Kharif,2019,Weather Based Crop Insurance Scheme,Chhattisgarh,Mahasamund,Banana,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,150000,5,12,"7/31/2019, 2:29:59 PM",1,7500,10500
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Kerala,Kozhikode,Tapioca - Rabi -II,AGRICULTURE INSURANCE COMPANY,112500,2.5,2.5,"2/28/2017, 1:29:59 PM",1,2812.5,0
Kharif,2018,Weather Based Crop Insurance Scheme,Kerala,Idukki,Pepper,AGRICULTURE INSURANCE COMPANY,50000,5,12,"8/16/2018, 2:29:59 PM",1,2500,3500
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Siddharthnagar,Wheat,Bajaj Allianz General Insurance Co. Ltd,50930,1.5,9.53,"12/31/2017, 1:29:59 PM",1,763.95,4089.6789999999996
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Tripura,Unakoti,Watermelon,AGRICULTURE INSURANCE COMPANY,128658,5,5,"12/15/2018, 1:29:59 PM",1,6432.9,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Kendujhar,Black Gram (Urad),AGRICULTURE INSURANCE COMPANY,29500,1.5,2.5,"12/31/2017, 1:29:59 PM",1,442.5,295
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Budaun,Sesame (Gingelly/Til)/Sesamum,HDFC ERGO GENERAL INSURANCE CO. LTD.,15200,2,10,"7/31/2019, 2:29:59 PM",1,304,1216
Kharif,2019,Weather Based Crop Insurance Scheme,Chhattisgarh,Koriya,Tomato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,100000,5,25,"7/31/2019, 2:29:59 PM",1,5000,20000
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Mahbubnagar,Rice,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,75000,1.5,3,"12/31/2018, 1:29:59 PM",1,1125,1125
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Sangareddy,Sorghum (Jowar/Great Millet),AGRICULTURE INSURANCE COMPANY,27500,1.5,5,"12/31/2018, 1:29:59 PM",1,412.5,962.5
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Faizabad,Paddy (Dhan),RELIANCE GENERAL INSURANCE CO. LTD.,52788,2,3.5,"7/30/2017, 2:30:00 PM",1,1055.76,791.82
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Rewari,Pearl Millet (Bajra),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,33500,1.88,1.88,"7/30/2017, 2:30:00 PM",1,629.8,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Morigaon,Jute,NATIONAL INSURANCE COMPANY LIMITED,56630,0.52,0.52,"7/31/2018, 2:29:59 PM",1,294.476,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Mahabubabad,Paddy (Dhan),NATIONAL INSURANCE COMPANY LIMITED,85000,2,3.99,"8/31/2018, 2:29:59 PM",1,1700,1691.5000000000002
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Morigaon,Mustard,AGRICULTURE INSURANCE COMPANY,33700,1.5,2,"12/31/2018, 1:29:59 PM",1,505.5,168.5
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,The Dangs,Black Gram (Urad),RELIANCE GENERAL INSURANCE CO. LTD.,27000,2,5,"7/15/2019, 2:29:59 PM",1,540,810
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Kurukshetra,Cotton (Kapas),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,69000,2,5.5,"7/30/2017, 2:30:00 PM",1,1380,2415
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Pratapgarh,Barley (Jau),Bajaj Allianz General Insurance Co. Ltd,23154,1.5,5,"12/31/2017, 1:29:59 PM",1,347.31,810.39
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Pali,Cumin,Bajaj Allianz General Insurance Co. Ltd,50326,5,8,"12/31/2017, 1:29:59 PM",1,2516.3,1509.78
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Shajapur,Wheat - IR,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,48000,1.5,7.39,"1/16/2019, 2:59:59 AM",1,720,2827.2
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Paddy (Dhan),SBI GENERAL INSURANCE,54504,2,6,"7/30/2017, 2:30:00 PM",1,1090.08,2180.16
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Black Gram (Urad),SBI GENERAL INSURANCE,24130,2,12.66,"7/30/2017, 2:30:00 PM",1,482.6,2572.2580000000003
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Farrukhabad,Maize (Makka),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,40500,2,6.2,"7/31/2019, 2:29:59 PM",1,810,1701
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Jalpaiguri,Mustard,NATIONAL INSURANCE COMPANY LIMITED,37065,0,9,"12/31/2018, 1:29:59 PM",1,0,3335.85
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Munger,Paddy (Dhan),BHARTI AXA GENERAL INSURANCE COMPANY LTD.,47500,2,8,"7/30/2017, 2:30:00 PM",1,950,2850
Kharif,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Balaghat,Chillies,Cholamandalam MS General Insurance company limited,68185,5,19.3,"8/14/2017, 2:30:00 PM",1,3409.25,9750.455
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Jammu And Kashmir,Reasi,Wheat,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,35000,1.5,5.07,"12/31/2017, 1:29:59 PM",1,525,1249.5000000000002
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Komaram Bheem,Maize (Makka) - RF,NATIONAL INSURANCE COMPANY LIMITED,50000,2,4.44,"7/31/2018, 2:29:59 PM",1,1000,1220.0000000000002
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Hoshangabad,Pigeon Pea (Red Gram/Arhar/Tur),AGRICULTURE INSURANCE COMPANY,31000,2,3,"8/15/2017, 2:30:00 PM",1,620,310
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Simdega,Potato,AGRICULTURE INSURANCE COMPANY,153981,5,5,"12/31/2018, 1:29:59 PM",1,7699.05,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Hoshangabad,Paddy - RF (UnIR),AGRICULTURE INSURANCE COMPANY,25000,2,26,"8/15/2017, 2:30:00 PM",1,500,6000
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Jalpaiguri,Sesame (Gingelly/Til)/Sesamum,NATIONAL INSURANCE COMPANY LIMITED,34594,0,12.6,"12/31/2018, 1:29:59 PM",1,0,4358.844
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Mirzapur,Sesame (Gingelly/Til)/Sesamum,HDFC ERGO GENERAL INSURANCE CO. LTD.,25490,2,14.45,"7/31/2019, 2:29:59 PM",1,509.8,3173.505
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Haryana,Faridabad,Barley (Jau),ORIENTAL INSURANCE,40500,1.5,6.7318,"12/31/2018, 1:29:59 PM",1,607.5,2118.879
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Pigeon Pea (Red Gram/Arhar/Tur),SBI GENERAL INSURANCE,89864,2,11.5,"7/30/2017, 2:30:00 PM",1,1797.28,8537.08
Rabi,2018,Weather Based Crop Insurance Scheme,Kerala,Kottayam,Bitter Gourd,AGRICULTURE INSURANCE COMPANY,40000,5,48,"1/31/2019, 1:29:59 PM",1,2000,17200
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Lucknow,Black Gram (Urad),Bajaj Allianz General Insurance Co. Ltd,18722,2,7.5,"7/30/2017, 2:30:00 PM",1,374.44,1029.71
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Bulandshahr,Maize (Makka),RELIANCE GENERAL INSURANCE CO. LTD.,31338,2,2,"7/30/2017, 2:30:00 PM",1,626.76,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Jalor,Cumin,Bajaj Allianz General Insurance Co. Ltd,46550,5,8,"12/31/2017, 1:29:59 PM",1,2327.5,1396.5
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Mirzapur,Pea,RELIANCE GENERAL INSURANCE CO. LTD.,40610,1.5,10,"12/31/2017, 1:29:59 PM",1,609.15,3451.85
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Kerala,Kollam,Tapioca - Rabi -I,AGRICULTURE INSURANCE COMPANY,101000,3,3,"1/15/2018, 1:29:59 PM",1,3030,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Alirajpur,Cotton (Kapas),AGRICULTURE INSURANCE COMPANY,45000,3,3,"8/15/2017, 2:30:00 PM",1,1350,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Aurangabad,Sorghum (Jowar/Great Millet) - RF,ORIENTAL INSURANCE,24000,1.5,10.62,"1/1/2018, 1:29:59 PM",1,360,2188.7999999999997
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Rajnandgaon,Bengal Gram (Chana),Bajaj Allianz General Insurance Co. Ltd,31250,1.5,11,"12/31/2017, 1:29:59 PM",1,468.75,2968.75
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Kurukshetra,Paddy (Dhan),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,71500,1.5,1.5,"7/30/2017, 2:30:00 PM",1,1072.5,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Himachal Pradesh,Chamba,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,30000,2,3,"7/31/2019, 2:29:59 PM",1,600,300
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Farrukhabad,Paddy (Dhan),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,48375,2,3.61,"7/31/2019, 2:29:59 PM",1,967.5,778.8375
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Panna,Black Gram (Urad),HDFC ERGO GENERAL INSURANCE CO. LTD.,20000,2,4,"8/15/2017, 2:30:00 PM",1,400,400
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Surguja,Linseed (Alsi),Bajaj Allianz General Insurance Co. Ltd,10000,1.5,2,"12/31/2017, 1:29:59 PM",1,150,50
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,West Bengal,Uttar Dinajpur,Jute,AGRICULTURE INSURANCE COMPANY,62375,0,5,"6/29/2017, 2:30:00 PM",1,0,3118.75
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Jalpaiguri,Groundnut (Pea Nut) - Summer,NATIONAL INSURANCE COMPANY LIMITED,46949,0,9,"12/31/2018, 1:29:59 PM",1,0,4225.41
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Kerala,Pathanamthitta,Banana,AGRICULTURE INSURANCE COMPANY,300000,4,4,"1/31/2019, 1:29:59 PM",1,12000,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Assam,Darrang,Black Gram (Urad),HDFC ERGO GENERAL INSURANCE CO. LTD.,30970,2,2,"7/30/2017, 2:30:00 PM",1,619.4,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Pratapgarh,Bengal Gram (Chana),SBI GENERAL INSURANCE,33315,1.5,4.59,"12/31/2018, 1:29:59 PM",1,499.725,1029.4334999999999
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Umaria,Wheat - IR,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,28000,1.5,2,"1/16/2019, 2:59:59 AM",1,420,140
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Jammu And Kashmir,Rajouri,Wheat,ORIENTAL INSURANCE,35000,1.5,9,"12/31/2017, 1:29:59 PM",1,525,2625
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Shivpuri,Mustard,HDFC ERGO GENERAL INSURANCE CO. LTD.,26000,1.5,2.6,"1/16/2019, 2:59:59 AM",1,390,286.00000000000006
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Lalitpur,Sesame (Gingelly/Til)/Sesamum,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,8215,2,2.5,"7/30/2017, 2:30:00 PM",1,164.3,41.075
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Gurgaon,Maize (Makka),Bajaj Allianz General Insurance Co. Ltd,36000,1.5,1.5,"7/30/2017, 2:30:00 PM",1,540,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kannauj,Paddy (Dhan),RELIANCE GENERAL INSURANCE CO. LTD.,61138,2,2.5,"7/30/2017, 2:30:00 PM",1,1222.76,305.69
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Karimganj,Sugarcane - Noble Cane,AGRICULTURE INSURANCE COMPANY,100500,5,5,"1/31/2019, 1:29:59 PM",1,5025,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Kendujhar,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,51750,1.5,2,"12/31/2017, 1:29:59 PM",1,776.25,258.75
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Haryana,Charkhi Dadri,Wheat,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,66500,1.5,5.29,"12/31/2018, 1:29:59 PM",1,997.5,2520.35
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,West Bengal,Bankura,Paddy - Aman,NATIONAL INSURANCE COMPANY LIMITED,49250,0,3.35,"7/30/2017, 2:30:00 PM",1,0,1649.875
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Aurangabad,Safflower (Kusum/Kardi),ORIENTAL INSURANCE,22000,1.5,18.8,"1/1/2018, 1:29:59 PM",1,330,3806
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Hapur,Maize (Makka),NEW INDIA ASSURANCE COMPANY,27254,2,3,"7/30/2017, 2:30:00 PM",1,545.08,272.54
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Hathras,Mustard,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,45108,1.5,3.36,"12/31/2018, 1:29:59 PM",1,676.62,839.0088
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Sonitpur,Mustard,AGRICULTURE INSURANCE COMPANY,33700,1.5,2.5,"12/31/2018, 1:29:59 PM",1,505.5,337
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Odisha,Gajapati,Maize (Makka),Cholamandalam MS General Insurance company limited,37500,2,2.58,"7/30/2017, 2:30:00 PM",1,750,217.50000000000003
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Chhatarpur,Bengal Gram (Chana),HDFC ERGO GENERAL INSURANCE CO. LTD.,27000,1.5,5,"1/16/2019, 2:59:59 AM",1,405,945
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Assam,Goalpara,Jute,ORIENTAL INSURANCE,56630,1.99,1.99,"7/31/2018, 2:29:59 PM",1,1126.937,0
Kharif,2019,Weather Based Crop Insurance Scheme,Telangana,Siddipet,Cotton (Kapas),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,87500,5,22,"7/15/2019, 2:29:59 PM",1,4375,14875
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Tikamgarh,Bengal Gram (Chana),HDFC ERGO GENERAL INSURANCE CO. LTD.,22000,1.5,5.5,"1/16/2019, 2:59:59 AM",1,330,880
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Alirajpur,Chillies,UNITED INDIA INSURANCE CO.,51138.75,5,8.75,"7/31/2019, 2:29:59 PM",1,2556.9375,1917.703125
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Ajmer,Bengal Gram (Chana),TATA AIG GENERAL INSURANCE CO. LTD.,35000,1.5,12,"12/31/2018, 1:29:59 PM",1,525,3675
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,West Bengal,North Twenty Four Parganas,Paddy - Aus,AGRICULTURE INSURANCE COMPANY,75000,0,4,"6/29/2017, 2:30:00 PM",1,0,3000
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Nagar,Maize (Makka),SBI GENERAL INSURANCE,24812,2,8.5,"7/30/2017, 2:30:00 PM",1,496.24,1612.78
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Gujarat,Gir Somnath,Groundnut (Pea Nut),BHARTI AXA GENERAL INSURANCE COMPANY LTD.,68000,2,2,"7/17/2018, 2:29:59 PM",1,1360,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Gandhinagar,Black Gram (Urad),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,27000,2,5.17,"7/15/2019, 2:29:59 PM",1,540,855.9
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Jammu And Kashmir,Jammu,Wheat,RELIANCE GENERAL INSURANCE CO. LTD.,35000,1.5,9.34,"12/31/2017, 1:29:59 PM",1,525,2744
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Pratapgarh,Pearl Millet (Bajra),NEW INDIA ASSURANCE COMPANY,19000,2,4,"7/31/2019, 2:29:59 PM",1,380,380
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Paschim Bardhaman,Lentil (Masur),UNITED INDIA INSURANCE CO.,35088,0,1.5,"12/31/2018, 1:29:59 PM",1,0,526.32
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Dhaulpur,Pearl Millet (Bajra),IFFCO TOKIO GENERAL INSURANCE CO. LTD.,45354,2,7.5,"8/3/2018, 2:29:59 PM",1,907.08,2494.47
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Mirzapur,Sorghum (Jowar/Great Millet),HDFC ERGO GENERAL INSURANCE CO. LTD.,19650,2,13,"7/31/2019, 2:29:59 PM",1,393,2161.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Sehore,Wheat - RF,AGRICULTURE INSURANCE COMPANY,29750,1.5,2.8,"1/16/2019, 2:59:59 AM",1,446.25,386.74999999999994
Rabi,2018,Weather Based Crop Insurance Scheme,Telangana,Medak,Mango - 5 To 15 Years,AGRICULTURE INSURANCE COMPANY,450,5,5,"12/15/2018, 1:29:59 PM",1,22.5,0
Rabi,2017,Weather Based Crop Insurance Scheme,Himachal Pradesh,Chamba,Apple - 15 To 40 Years,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,800,5,25,"12/31/2017, 1:29:59 PM",1,40,160
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Haryana,Mahendragarh,Wheat,SBI GENERAL INSURANCE,66500,1.5,4.4962,"12/31/2018, 1:29:59 PM",1,997.5,1992.473
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Gujarat,Rajkot,Groundnut (Pea Nut),RELIANCE GENERAL INSURANCE CO. LTD.,42000,2,49.4,"7/17/2018, 2:29:59 PM",1,840,19908
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Muzaffarnagar,Mustard,NEW INDIA ASSURANCE COMPANY,38299,1.5,4,"12/31/2018, 1:29:59 PM",1,574.485,957.475
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Gujarat,Mahesana,Pearl Millet (Bajra) - IR,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,25000,1.5,2.5,"12/31/2017, 1:29:59 PM",1,375,250
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Haryana,Jind,Wheat,Bajaj Allianz General Insurance Co. Ltd,60500,1.5,3,"12/31/2017, 1:29:59 PM",1,907.5,907.5
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Hardoi,Pigeon Pea (Red Gram/Arhar/Tur),TATA AIG GENERAL INSURANCE CO. LTD.,40145,2,5,"7/30/2017, 2:30:00 PM",1,802.9,1204.35
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Surat,Paddy - IR,RELIANCE GENERAL INSURANCE CO. LTD.,21500,2,4,"7/15/2019, 2:29:59 PM",1,430,430
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Jhansi,Paddy (Dhan),NEW INDIA ASSURANCE COMPANY,39888,2,10,"7/30/2017, 2:30:00 PM",1,797.76,3191.04
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Munger,Wheat,BHARTI AXA GENERAL INSURANCE COMPANY LTD.,45937,1.5,11,"12/31/2017, 1:29:59 PM",1,689.055,4364.015
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kanpur Dehat,Sorghum (Jowar/Great Millet),TATA AIG GENERAL INSURANCE CO. LTD.,21471,2,3.16,"7/30/2017, 2:30:00 PM",1,429.42,249.06360000000004
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Haryana,Mewat,Mustard,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,38000,1.5,7.42,"12/31/2018, 1:29:59 PM",1,570,2249.6
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Alirajpur,Paddy - RF (UnIR),AGRICULTURE INSURANCE COMPANY,12700,2,11.5,"8/15/2017, 2:30:00 PM",1,254,1206.5
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Amethi,Paddy (Dhan),SBI GENERAL INSURANCE,49774,2,3,"7/31/2018, 2:29:59 PM",1,995.48,497.74
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Buxar,Maize (Makka),Cholamandalam MS General Insurance company limited,51500,2,10,"7/30/2017, 2:30:00 PM",1,1030,4120
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Saraikela-Kharsawan,Bengal Gram (Chana),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,35335,1.5,5,"12/31/2018, 1:29:59 PM",1,530.025,1236.725
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Telangana,Rangareddy,Groundnut (Pea Nut),AGRICULTURE INSURANCE COMPANY,52500,1.5,10,"12/31/2018, 1:29:59 PM",1,787.5,4462.5
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Paschim Bardhaman,Mustard,UNITED INDIA INSURANCE CO.,37750,0,8.18,"12/31/2018, 1:29:59 PM",1,0,3087.95
